RegionCode,SubRegion,SiteName,Latitude,Longitude,Depth ,Location,InstrumentType,ProjectCode,Tag #,Fate,Deployment,Recovery,Duration,Species,BlockDimensions,PreWeightBlock,PreWeightEpoxied,PreVolume,PreRWDensity,PreCTDensity,PostWeightDirty,PostWeightClean,PostVolume,PostCTDensity,PostCTMacroboring,PostCTMacroboringRate,PostCTGrazing,PostCTGrazingRate,PostCTAccretion ,PostCTAccretionRate,Notes
PR,west,Rincon,18.34435,-67.269233,20.2,PR_west_15,BMU,NCRMP,1317,SUCCESSFULLY RECOVERED,6/18/17,10/8/21,4.309589041,O. faveolata,5x2x1,14.5224,29.6413,11.94976902,1.215287088,1.20840552,29.2235,27.0528,8.510696411,1.323921927,1.014750481,0.235463398,2.424322128,0.562541371,0.502212524,0.116533739,
PR,west,Rincon,18.34435,-67.269233,20.2,PR_west_15,BMU,NCRMP,1318,SUCCESSFULLY RECOVERED,6/18/17,10/8/21,4.309589041,O. faveolata,5x2x1,16.6875,31.8431,11.00952816,1.515732533,1.50400104,36.9986,32.8752,10.15915203,1.61958918,0.178510666,0.041421737,0.671865464,0.155900124,0.825330734,0.19151031,
PR,west,Rincon,18.34435,-67.269233,20.2,PR_west_15,BMU,NCRMP,1319,SUCCESSFULLY RECOVERED,6/18/17,10/8/21,4.309589041,O. faveolata,5x2x1,9.3096,24.658,9.553453445,0.974474838,0.955063232,26.5918,24.3675,8.741958618,1.100371726,0.442079544,0.102580441,0.369415283,0.085719376,0.275954247,0.064032613,
PR,west,Rincon,18.34435,-67.269233,20.2,PR_west_15,BMU,NCRMP,1320,SUCCESSFULLY RECOVERED,6/18/17,10/8/21,4.309589041,O. faveolata,5x2x1,15.5703,30.8321,11.3413496,1.372878938,1.36288696,31.362,28.3641,8.811936378,1.45579366,1.951146126,0.452745287,0.578267096,0.134181494,0.230790138,0.053552702,
PR,east,Culebra,18.33066,-65.33373,18.6,PR_east_15a,BMU,NCRMP,1321,SUCCESSFULLY RECOVERED,8/11/17,5/7/22,4.739726027,O. faveolata,5x2x1,15.9675,32.1842,NA,NA,NA,34.0165,31.3189,8.034954071,1.5881456,0.646528244,0.136406248,NA,NA,1.695173264,0.357652163,Prescan Blocks not CT'd
PR,east,Culebra,18.33066,-65.33373,18.6,PR_east_15a,BMU,NCRMP,1322,SUCCESSFULLY RECOVERED,8/11/17,5/7/22,4.739726027,O. faveolata,5x2x1,13.1713,29.3998,NA,NA,NA,28.0488,26.2123,6.675550461,1.40976705,0.529326439,0.1116787,NA,NA,1.026320457,0.216535819,Prescan Blocks not CT'd
PR,east,Culebra,18.33066,-65.33373,18.6,PR_east_15a,BMU,NCRMP,1323,SUCCESSFULLY RECOVERED,8/11/17,5/7/22,4.739726027,O. faveolata,5x2x1,16.269,32.0468,NA,NA,NA,31.3996,29.0516,7.569228172,1.66443041,0.693992615,0.146420407,NA,NA,0.563178062,0.118820805,Prescan Blocks not CT'd
PR,east,Culebra,18.33066,-65.33373,18.6,PR_east_15a,BMU,NCRMP,1324,SUCCESSFULLY RECOVERED,8/11/17,5/7/22,4.739726027,O. faveolata,5x2x1,14.0429,29.9691,NA,NA,NA,22.2661,19.1555,1.990190506,1.4378388,0.201418877,0.04249589,NA,NA,0.480600357,0.101398341,Prescan Blocks not CT'd
PR,east,Culebra,18.33066,-65.33373,18.6,PR_east_15a,BMU,NCRMP,1325,SUCCESSFULLY RECOVERED,8/11/17,5/7/22,4.739726027,O. faveolata,5x2x1,14.5984,30.4244,NA,NA,NA,32.6914,29.969,8.76839447,1.47622596,0.389087677,0.082090753,NA,NA,1.036851883,0.218757767,Prescan Blocks not CT'd
DT,west,Transect 1,24.61123,-82.87045,13.7,DT_west_15,BMU,NCRMP,1691,SUCCESSFULLY RECOVERED,7/11/18,6/26/21,2.961643836,O. faveolata,5x2x1,18.6429,34.1218,12.40681744,1.502633539,1.50389412,37.1311,35.1066,11.75428104,1.58847374,0.108395577,0.036599802,0.544140823,0.183729325,0.579717636,0.195741848,
DT,west,Transect 2,24.61123,-82.87045,13.4,DT_west_15,BMU,NCRMP,1692,SUCCESSFULLY RECOVERED,7/11/18,6/26/21,2.961643836,O. faveolata,5x2x1,12.8424,27.4023,10.97795105,1.169835786,1.174109427,23.6904,20.9596,4.59897995,1.183569436,1.429681778,0.482732515,4.949289322,1.671129142,0.857405663,0.2895033,
DT,west,Transect 3,24.61123,-82.87045,13.7,DT_west_15,BMU,NCRMP,1693,SUCCESSFULLY RECOVERED,7/11/18,6/26/21,2.961643836,O. faveolata,5x2x1,17.1793,32.6085,12.18533134,1.409834458,1.41445862,36.9791,33.6862,11.73780155,1.49999766,0.095967293,0.032403387,0.351562497,0.118705191,0.49034214,0.165564182,
